team,name,position,value,previous_season_sum_total_points,starting_11,captain,key_player,.pred
Arsenal,ben white,DEF,6.5,182,Yes,not captain,0,3.018457119464874
Crystal Palace,tyrick mitchell,DEF,5,119,Yes,not captain,0,2.4299433460235598
Spurs,pedro porro,DEF,5.5,136,Yes,not captain,0,2.2441201515197755
Arsenal,william saliba,DEF,6,164,no,not captain,0,1.9681829977035523
Crystal Palace,joachim andersen,DEF,4.5,121,no,not captain,0,1.7477346839904786
Arsenal,kai havertz,FWD,8,NA,Yes,not captain,0,3.3102710580825807
Brentford,yoane wissa,FWD,6,131,Yes,not captain,0,2.6066167187690734
Nott'm Forest,chris wood,FWD,6,131,Yes,not captain,0,2.4143333792686463
Fulham,bernd leno,GK,5,133,Yes,captain,0,3.721301103591919
Everton,jordan pickford,GK,5,153,no,not captain,0,1.9529435286521912
Chelsea,cole palmer,MID,10.5,244,Yes,not captain,0,3.6918529224395744
Man City,phil foden,MID,9.5,230,Yes,not captain,0,3.5775820827484135
Newcastle,bruno guimaraes,MID,6.5,153,Yes,not captain,0,2.972123634338379
Newcastle,anthony gordon,MID,7.5,183,Yes,not captain,0,2.961908140182495
West Ham,jarrod bowen,MID,7.5,182,no,not captain,0,1.9660446310043336
